"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"4816","FL",12,95,"Orange County, Florida",1217194
"4817","FL",12,97,"Osceola County, Florida",298835
"4818","FL",12,99,"Palm Beach County, Florida",1366048
"4819","FL",12,101,"Pasco County, Florida",473431
"4820","FL",12,103,"Pinellas County, Florida",920233
"4821","FL",12,105,"Polk County, Florida",617100
"4822","FL",12,107,"Putnam County, Florida",71452
"4823","FL",12,109,"St. Johns County, Florida",208644
"4824","FL",12,111,"St. Lucie County, Florida",285832
"4825","FL",12,113,"Santa Rosa County, Florida",152107
"4826","FL",12,115,"Sarasota County, Florida",388233
"4827","FL",12,117,"Seminole County, Florida",434616
"4828","FL",12,119,"Sumter County, Florida",99400
"4829","FL",12,121,"Suwannee County, Florida",42115
"4830","FL",12,123,"Taylor County, Florida",18600
"4831","FL",12,125,"Union County, Florida",10019
"4832","FL",12,127,"Volusia County, Florida",497974
"4833","FL",12,129,"Wakulla County, Florida",27517
"4834","FL",12,131,"Walton County, Florida",57405
"4835","FL",12,133,"Washington County, Florida",22051
"5822","GA",13,1,"Appling County, Georgia",17953
"5823","GA",13,3,"Atkinson County, Georgia",8268
"5824","GA",13,5,"Bacon County, Georgia",10701
"5825","GA",13,7,"Baker County, Georgia",3292
"5826","GA",13,9,"Baldwin County, Georgia",43526
"5827","GA",13,11,"Banks County, Georgia",18319
"5828","GA",13,13,"Barrow County, Georgia",71798
"5829","GA",13,15,"Bartow County, Georgia",100487
"5830","GA",13,17,"Ben Hill County, Georgia",17157
"5831","GA",13,19,"Berrien County, Georgia",18711
"5832","GA",13,21,"Bibb County, Georgia",151161
"5833","GA",13,23,"Bleckley County, Georgia",12381
"5834","GA",13,25,"Brantley County, Georgia",18393
"5835","GA",13,27,"Brooks County, Georgia",15598
"5836","GA",13,29,"Bryan County, Georgia",32198
"5837","GA",13,31,"Bulloch County, Georgia",71541
"5838","GA",13,33,"Burke County, Georgia",22762
"5839","GA",13,35,"Butts County, Georgia",20999
"5840","GA",13,37,"Calhoun County, Georgia",4673
"5841","GA",13,39,"Camden County, Georgia",47802
"5842","GA",13,43,"Candler County, Georgia",10744
"5843","GA",13,45,"Carroll County, Georgia",111432
"5844","GA",13,47,"Catoosa County, Georgia",64855
"5845","GA",13,49,"Charlton County, Georgia",11781
"5846","GA",13,51,"Chatham County, Georgia",271319
"5847","GA",13,53,"Chattahoochee County, Georgia",7229
"5848","GA",13,55,"Chattooga County, Georgia",23369
"5849","GA",13,57,"Cherokee County, Georgia",225041
"5850","GA",13,59,"Clarke County, Georgia",119918
"5851","GA",13,61,"Clay County, Georgia",3046
"5852","GA",13,63,"Clayton County, Georgia",263996
"5853","GA",13,65,"Clinch County, Georgia",6660
"5854","GA",13,67,"Cobb County, Georgia",714030
"5855","GA",13,69,"Coffee County, Georgia",39575
"5856","GA",13,71,"Colquitt County, Georgia",45331
"5857","GA",13,73,"Columbia County, Georgia",133209
"5858","GA",13,75,"Cook County, Georgia",16889
"5859","GA",13,77,"Coweta County, Georgia",132823
"5860","GA",13,79,"Crawford County, Georgia",12391
"5861","GA",13,81,"Crisp County, Georgia",22865
"5862","GA",13,83,"Dade County, Georgia",16296
"5863","GA",13,85,"Dawson County, Georgia",22490
"5864","GA",13,87,"Decatur County, Georgia",26062
"5865","GA",13,89,"DeKalb County, Georgia",708943
"5866","GA",13,91,"Dodge County, Georgia",19211
"5867","GA",13,93,"Dooly County, Georgia",12619
"5868","GA",13,95,"Dougherty County, Georgia",91531
"5869","GA",13,97,"Douglas County, Georgia",135343
"5870","GA",13,99,"Early County, Georgia",10420
"5871","GA",13,101,"Echols County, Georgia",4048
"5872","GA",13,103,"Effingham County, Georgia",54056
"5873","GA",13,105,"Elbert County, Georgia",19303
"5874","GA",13,107,"Emanuel County, Georgia",21963
"5875","GA",13,109,"Evans County, Georgia",10330
"5876","GA",13,111,"Fannin County, Georgia",23583
"5877","GA",13,113,"Fayette County, Georgia",107798
"5878","GA",13,115,"Floyd County, Georgia",93997
"5879","GA",13,117,"Forsyth County, Georgia",195631
"5880","GA",13,119,"Franklin County, Georgia",21903
"5881","GA",13,121,"Fulton County, Georgia",975177
"5882","GA",13,123,"Gilmer County, Georgia",28425
"5883","GA",13,125,"Glascock County, Georgia",2992
"5884","GA",13,127,"Glynn County, Georgia",80782
"5885","GA",13,129,"Gordon County, Georgia",55350
"5886","GA",13,131,"Grady County, Georgia",25051
"5887","GA",13,133,"Greene County, Georgia",16154
"5888","GA",13,135,"Gwinnett County, Georgia",854130
"5889","GA",13,137,"Habersham County, Georgia",41224
"5890","GA",13,139,"Hall County, Georgia",186601
"5891","GA",13,141,"Hancock County, Georgia",7013
"5892","GA",13,143,"Haralson County, Georgia",28202
"5893","GA",13,145,"Harris County, Georgia",32355
"5894","GA",13,147,"Hart County, Georgia",24663
"5895","GA",13,149,"Heard County, Georgia",11474
"5896","GA",13,151,"Henry County, Georgia",210165
"5897","GA",13,153,"Houston County, Georgia",144239
"5898","GA",13,155,"Irwin County, Georgia",8866
"5899","GA",13,157,"Jackson County, Georgia",60900
"5900","GA",13,159,"Jasper County, Georgia",13493
"5901","GA",13,161,"Jeff Davis County, Georgia",14874
"5902","GA",13,163,"Jefferson County, Georgia",15866
"5903","GA",13,165,"Jenkins County, Georgia",8840
"5904","GA",13,167,"Johnson County, Georgia",9235
"5905","GA",13,169,"Jones County, Georgia",28459
"5906","GA",13,171,"Lamar County, Georgia",17838
