"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"3979","CO",8,81,"Moffat County, Colorado",13117,6830,6287,"37.1","35.9","38.1"
"3980","CO",8,83,"Montezuma County, Colorado",25700,12729,12971,"43.4","42.3","45.0"
"3981","CO",8,85,"Montrose County, Colorado",40815,20021,20794,"44.2","42.4","45.5"
"3982","CO",8,87,"Morgan County, Colorado",28359,14088,14271,"36.4","35.6","37.3"
"3983","CO",8,89,"Otero County, Colorado",18572,9121,9451,"39.7","39.2","40.4"
"3984","CO",8,91,"Ouray County, Colorado",4580,2239,2341,"52.9","51.2","53.5"
"3985","CO",8,93,"Park County, Colorado",16189,8525,7664,"49.4","49.7","49.0"
"3986","CO",8,95,"Phillips County, Colorado",4371,2259,2112,"43.7","38.8","45.2"
"3987","CO",8,97,"Pitkin County, Colorado",17420,9235,8185,"43.4","43.7","43.4"
"3988","CO",8,99,"Prowers County, Colorado",12235,6137,6098,"37.6","35.8","39.2"
"3989","CO",8,101,"Pueblo County, Colorado",161519,79535,81984,"38.8","37.6","40.4"
"3990","CO",8,103,"Rio Blanco County, Colorado",6712,3490,3222,"36.4","35.9","37.1"
"3991","CO",8,105,"Rio Grande County, Colorado",11745,5810,5935,"40.9","40.1","41.8"
"3992","CO",8,107,"Routt County, Colorado",23606,12328,11278,"40.1","39.8","40.5"
"3993","CO",8,109,"Saguache County, Colorado",6238,3116,3122,"46.1","45.5","46.9"
"3994","CO",8,111,"San Juan County, Colorado",606,327,279,"46.0","42.5","46.6"
"3995","CO",8,113,"San Miguel County, Colorado",7676,4049,3627,"40.7","40.5","41.0"
"3996","CO",8,115,"Sedgwick County, Colorado",2365,1139,1226,"49.8","49.4","49.9"
"3997","CO",8,117,"Summit County, Colorado",28940,15912,13028,"37.1","36.5","38.5"
"3998","CO",8,119,"Teller County, Colorado",23340,11826,11514,"49.4","49.4","49.3"
"3999","CO",8,121,"Washington County, Colorado",4795,2482,2313,"44.4","41.8","45.6"
"4000","CO",8,123,"Weld County, Colorado",270948,136230,134718,"33.9","33.3","34.4"
"4001","CO",8,125,"Yuma County, Colorado",10185,4825,5360,"36.0","36.5","35.9"
"4495","CT",9,1,"Fairfield County, Connecticut",939983,457634,482349,"39.7","38.1","41.1"
"4496","CT",9,3,"Hartford County, Connecticut",896943,434784,462159,"40.1","38.2","41.7"
"4497","CT",9,5,"Litchfield County, Connecticut",186304,91740,94564,NA,"44.8","47.1"
"4498","CT",9,7,"Middlesex County, Connecticut",165165,80854,84311,"44.2","43.1","45.5"
"4499","CT",9,9,"New Haven County, Connecticut",862224,415679,446545,"39.8","38.1","41.1"
"4500","CT",9,11,"New London County, Connecticut",273185,136570,136615,"40.7","38.7","42.5"
"4501","CT",9,13,"Tolland County, Connecticut",151948,76134,75814,"38.1","36.5","39.6"
"4502","CT",9,15,"Windham County, Connecticut",117470,58212,59258,"40.4","39.2","41.6"
"4662","DC",11,1,"District of Columbia, District of Columbia",647484,306674,340810,"33.7","33.5","33.9"
"4673","DE",10,1,"Kent County, Delaware",169509,81716,87793,NA,"35.1","38.4"
"4674","DE",10,3,"New Castle County, Delaware",549643,265915,283728,"37.5","36.1","38.8"
"4675","DE",10,5,"Sussex County, Delaware",207302,100782,106520,NA,"45.4","48.3"
"4769","FL",12,1,"Alachua County, Florida",254218,122968,131250,"30.8","29.9","31.8"
"4770","FL",12,3,"Baker County, Florida",27135,14277,12858,"36.6","35.5","38.0"
"4771","FL",12,5,"Bay County, Florida",175353,86800,88553,"39.8","38.3","41.0"
"4772","FL",12,7,"Bradford County, Florida",27223,15150,12073,"39.6","36.8","44.9"
"4773","FL",12,9,"Brevard County, Florida",553591,270544,283047,"46.6","45.1","47.9"
"4774","FL",12,11,"Broward County, Florida",1843152,894820,948332,"40.0","38.6","41.1"
"4775","FL",12,13,"Calhoun County, Florida",14615,7991,6624,"40.5","39.7","42.3"
"4776","FL",12,15,"Charlotte County, Florida",165783,80718,85065,"57.3","56.2","58.0"
"4777","FL",12,17,"Citrus County, Florida",139654,67381,72273,"55.4","54.4","56.1"
"4778","FL",12,19,"Clay County, Florida",197417,96931,100486,"39.0","37.6","40.0"
"4779","FL",12,21,"Collier County, Florida",341091,167836,173255,"48.5","46.7","50.2"
"4780","FL",12,23,"Columbia County, Florida",67806,35080,32726,"40.4","38.2","42.8"
"4781","FL",12,27,"DeSoto County, Florida",34957,19756,15201,"40.1","38.4","41.8"
"4782","FL",12,29,"Dixie County, Florida",16091,8746,7345,"46.9","44.3","49.5"
"4783","FL",12,31,"Duval County, Florida",890673,431732,458941,"36.0","34.6","37.6"
"4784","FL",12,33,"Escambia County, Florida",306327,152196,154131,"37.2","34.9","39.6"
"4785","FL",12,35,"Flagler County, Florida",100783,48229,52554,"49.6","48.1","50.5"
"4786","FL",12,37,"Franklin County, Florida",11628,6800,4828,"42.1","39.1","48.7"
"4787","FL",12,39,"Gadsden County, Florida",46424,21995,24429,"40.2","38.8","41.2"
"4788","FL",12,41,"Gilchrist County, Florida",16992,8946,8046,"42.0","36.5","45.8"
"4789","FL",12,43,"Glades County, Florida",13272,7319,5953,"45.3","42.5","48.0"
"4790","FL",12,45,"Gulf County, Florida",15785,9235,6550,"43.3","41.3","46.2"
"4791","FL",12,47,"Hamilton County, Florida",14395,8671,5724,"40.5","36.1","45.6"
"4792","FL",12,49,"Hardee County, Florida",27468,14920,12548,"34.8","33.2","36.4"
"4793","FL",12,51,"Hendry County, Florida",38363,20318,18045,"33.8","32.3","34.8"
"4794","FL",12,53,"Hernando County, Florida",174809,83978,90831,"48.7","46.9","50.0"
"4795","FL",12,55,"Highlands County, Florida",98328,47994,50334,"52.1","50.2","54.0"
"4796","FL",12,57,"Hillsborough County, Florida",1302884,635632,667252,"36.6","35.5","37.6"
"4797","FL",12,59,"Holmes County, Florida",19635,10501,9134,"42.1","40.0","45.1"
"4798","FL",12,61,"Indian River County, Florida",142866,68768,74098,"50.7","48.7","52.2"
"4799","FL",12,63,"Jackson County, Florida",48900,27124,21776,"41.0","39.1","44.4"
"4800","FL",12,65,"Jefferson County, Florida",14198,7522,6676,"45.3","42.6","48.8"
