,State,StateFIPS,CountyFIPS,AreaName,Median Income
5973,GA,13,307,"Webster County, Georgia",37063
5974,GA,13,309,"Wheeler County, Georgia",27620
5975,GA,13,311,"White County, Georgia",40888
5976,GA,13,313,"Whitfield County, Georgia",40596
5977,GA,13,315,"Wilcox County, Georgia",32043
5978,GA,13,317,"Wilkes County, Georgia",32727
5979,GA,13,319,"Wilkinson County, Georgia",38485
5980,GA,13,321,"Worth County, Georgia",37974
6669,HI,15,1,"Hawaii County, Hawaii",52108
6670,HI,15,3,"Honolulu County, Hawaii",74460
6671,HI,15,5,"Kalawao County, Hawaii",66250
6672,HI,15,7,"Kauai County, Hawaii",65101
6673,HI,15,9,"Maui County, Hawaii",66476
6843,IA,19,1,"Adair County, Iowa",46526
6844,IA,19,3,"Adams County, Iowa",48043
6845,IA,19,5,"Allamakee County, Iowa",45890
6846,IA,19,7,"Appanoose County, Iowa",41394
